City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,cockburn town,21.4612,-71.1419,27.32,75,60,9.25,TC,1701399367
338,leava,-14.3,-178.1667,28.74,79,99,5.98,WF,1701399367
339,nurmijarvi,60.4641,24.8073,-4.69,90,75,5.14,FI,1701399368
340,tangancicuaro de arista,19.9,-102.1333,14.34,90,76,2.01,MX,1701399368
341,yigo village,13.5361,144.8886,31.62,76,75,6.69,GU,1701399369
342,posto fiscal rolim de moura,-13.0833,-62.2667,23.28,92,89,1.36,BR,1701399369
343,mukalla,14.5425,49.1242,24.04,68,8,1.13,YE,1701399370
344,zouerate,22.7187,-12.4521,19.98,22,100,3.04,MR,1701399370
345,meadow lakes,61.6247,-149.6011,2.68,68,100,6.69,US,1701399371
346,lae,-6.7221,146.9847,35.37,65,95,4.36,PG,1701399371
347,niafunke,15.9322,-3.9906,24.81,16,1,4.26,ML,1701399372
348,sukhothai,17.25,99.6667,25.94,83,0,2.06,TH,1701399372
349,mar del plata,-38.0023,-57.5575,22.01,68,0,3.6,AR,1701399362
350,hiratacho,35.4333,132.8167,7.98,57,75,5.66,JP,1701399373
351,rimus,16.8764,120.3966,30.24,60,42,2.73,PH,1701399374
352,auki,-8.7676,160.7034,29.18,71,100,1.21,SB,1701399374
353,tanjung pandan,-2.75,107.65,25.94,87,100,2.08,ID,1701399375
354,kulhudhuffushi,6.6221,73.07,28.47,72,90,2.9,MV,1701399375
355,gulf shores,30.246,-87.7008,19.47,70,75,3.6,US,1701399223
356,pisco,-13.7,-76.2167,20.03,83,0,7.2,PE,1701399325
357,alofi,-19.0595,-169.9187,28.94,70,75,4.63,NU,1701399377
